author11,author10,author9,author8,author7,author6,author5,author4,author3,author2,author1,EIP_Number,Title,Author,Status,author1_id,author2_id,author3_id,author4_id,author5_id,author6_id,author7_id,author8_id,author9_id,author10_id,author11_id
,,,,,,,,,,peterszilagyi,706,DEVp2p snappy compression,Peter Szilagyi,Final,18,,,,,,,,,,
,,,,,,,,,,philippecastonguay,3382,Hardcoded Block Gas Limit,Philippe Castonguay,Withdrawn,177,,,,,,,,,,
,,,,,,,,,,pinkiebell,3448,MetaProxy Standard,pinkiebell,Final,181,,,,,,,,,,
,,,,,,,,,,qizhou,5018,Filesystem-like Interface for Smart Contracts,Qi Zhou,Draft,217,,,,,,,,,,
,,,,,,,,,,qizhou,5027,Remove the limit on contract code size,Qi Zhou,Draft,217,,,,,,,,,,
,,,,,,,,,,qizhou,5478,CREATE2COPY Opcode,Qi Zhou,Draft,217,,,,,,,,,,
,,,,,,,,,,query0x,3374,Predictable Proof-of-Work (POW) Sunsetting,Query0x,Withdrawn,176,,,,,,,,,,
,,,,,,,,,,remcobloemen,1829,Precompile for Elliptic Curve Linear Combinations,Remco Bloemen,Stagnant,29,,,,,,,,,,
,,,,,,,,,,ricardoguilhermeschmidt,2470,Singleton Factory,Ricardo Guilherme Schmidt,Stagnant,132,,,,,,,,,,
,,,,,,,,,,ricardoguilhermeschmidt,2474,Coinbase calls,Ricardo Guilherme Schmidt,Stagnant,132,,,,,,,,,,
,,,,,,,,,,richardmoore,634,Storage of text records in ENS,Richard Moore,Stagnant,22,,,,,,,,,,
,,,,,,,,,,ronansandford,107,"safe """"eth_sendTransaction"""" authorization via html popup",Ronan Sandford,Stagnant,9,,,,,,,,,,
,,,,,,,,,,ronansandford,1930,CALLs with strict gas semantic. Revert if not enough gas available.,Ronan Sandford,Stagnant,9,,,,,,,,,,
,,,,,,,,,,ronansandford,1959,New Opcode to check if a chainID is part of the history of chainIDs,Ronan Sandford,Stagnant,9,,,,,,,,,,
,,,,,,,,,,ronansandford,1965,Method to check if a chainID is valid at a specific block Number,Ronan Sandford,Stagnant,9,,,,,,,,,,
,,,,,,,,,,ronansandford,5409,EIP-1155 Non-Fungible Token extension,Ronan Sandford,Draft,9,,,,,,,,,,
,,,,,,,,,,rosscampbell,4521,721/20-compatible transfer,Ross Campbell,Stagnant,206,,,,,,,,,,
,,,,,,,,,,royosherove,5553,Representing IP and its Royalty Structure,Roy Osherove,Review,269,,,,,,,,,,
,,,,,,,,,,samporter,3561,Trust Minimized Upgradeability Proxy,Sam Porter,Review,186,,,,,,,,,,
,,,,,,,,,,samwilson,5139,Remote Procedure Call Provider Lists,Sam Wilson,Draft,165,,,,,,,,,,
,,,,,,,,,,samwilson,5757,Process for Approving External Resources,Sam Wilson,Final,165,,,,,,,,,,
,,,,,,,,,,seandarcy,5570,Digital Receipt Non-Fungible Tokens,Sean Darcy,Draft,274,,,,,,,,,,
,,,,,,,,,,seanpapanikolas,2309,ERC-721 Consecutive Transfer Extension,Sean Papanikolas,Final,126,,,,,,,,,,
,,,,,,,,,,seanpapanikolas,3569,Sealed NFT Metadata Standard,Sean Papanikolas,Stagnant,126,,,,,,,,,,
,,,,,,,,,,sergiod.lerner,5283,Semaphore for Reentrancy Protection,Sergio D. Lerner,Draft,254,,,,,,,,,,
,,,,,,,,,,sergiodemianlerner,2997,IMPERSONATECALL Opcode,Sergio Demian Lerner,Stagnant,157,,,,,,,,,,
,,,,,,,,,,simontian,3754,A Vanilla Non-Fungible Token Standard,Simon Tian,Stagnant,192,,,,,,,,,,
,,,,,,,,,,simontian,4341,Ordered NFT Batch Standard,Simon Tian,Draft,192,,,,,,,,,,
,,,,,,,,,,smeargleusedfly,1227,Defuse Difficulty Bomb and Reset Block Reward,SmeargleUsedFly,Stagnant,74,,,,,,,,,,
,,,,,,,,,,sohamzemse,3772,Compressed Integers,Soham Zemse,Stagnant,147,,,,,,,,,,
,,,,,,,,,,startfundinc,5528,Refundable Fungible Token,StartfundInc,Final,267,,,,,,,,,,
,,,,,,,,,,tobiasoberstein,665,Add precompiled contract for Ed25519 signature verification,Tobias Oberstein,Stagnant,24,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,2,Homestead Hard-fork Changes,Vitalik Buterin,Final,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,7,DELEGATECALL,Vitalik Buterin,Final,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,86,Abstraction of transaction origin and signature,Vitalik Buterin,Stagnant,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,100,Change difficulty adjustment to target mean block time including uncles,Vitalik Buterin,Final,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,101,Serenity Currency and Crypto Abstraction,Vitalik Buterin,Stagnant,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,150,Gas cost changes for IO-heavy operations,Vitalik Buterin,Final,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,155,Simple replay attack protection,Vitalik Buterin,Final,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,158,State clearing,Vitalik Buterin,Final,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,160,EXP cost increase,Vitalik Buterin,Final,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,170,Contract code size limit,Vitalik Buterin,Final,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,198,Big integer modular exponentiation,Vitalik Buterin,Final,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,210,Blockhash refactoring,Vitalik Buterin,Stagnant,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,1014,Skinny CREATE2,Vitalik Buterin,Final,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,2937,SET_INDESTRUCTIBLE opcode,Vitalik Buterin,Stagnant,1,,,,,,,,,,
,,,,,,,,,,vitalikbuterin,2970,IS_STATIC opcode,Vitalik Buterin,Stagnant,1,,,,,,,,,,
,,,,,,,,,,vittoriominacori,1363,Payable Token,Vittorio Minacori,Final,84,,,,,,,,,,
,,,,,,,,,,vladgluhovsky,627,Whisper Specification,Vlad Gluhovsky,Final,21,,,,,,,,,,
,,,,,,,,,,weitang,1283,Net gas metering for SSTORE without dirty maps,Wei Tang,Final,78,,,,,,,,,,
,,,,,,,,,,weitang,1702,Generalized Account Versioning Scheme,Wei Tang,Stagnant,78,,,,,,,,,,
,,,,,,,,,,weitang,2200,Structured Definitions for Net Gas Metering,Wei Tang,Final,78,,,,,,,,,,
,,,,,,,,,,williamentriken,1418,Blockchain Storage Rent Payment,William Entriken,Draft,30,,,,,,,,,,
,,,,,,,,,,williamentriken,2228,Canonicalize the name of network ID 1 and chain ID 1,William Entriken,Final,30,,,,,,,,,,
,,,,,,,,,,williamentriken,5313,Light Contract Ownership,William Entriken,Final,30,,,,,,,,,,
,,,,,,,,,,williamentriken,6049,Deprecate SELFDESTRUCT,William Entriken,Final,30,,,,,,,,,,
,,,,,,,,,,williammorriss,2936,EXTCLEAR Opcode For SELFDESTRUCTed contracts,William Morriss,Stagnant,153,,,,,,,,,,
,,,,,,,,,,williammorriss,3300,Phase out refunds,William Morriss,Stagnant,153,,,,,,,,,,
,,,,,,,,,,williammorriss,3322,Account gas storage opcodes,William Morriss,Stagnant,153,,,,,,,,,,
,,,,,,,,,,williammorriss,3651,Warm COINBASE,William Morriss,Stagnant,153,,,,,,,,,,
,,,,,,,,,,williamschwab,4524,Safer ERC-20,William Schwab,Stagnant,207,,,,,,,,,,
,,,,,,,,,,yan,5334,EIP-721 User And Expires And Level Extension,Yan,Draft,255,,,,,,,,,,
,,,,,,,,,,yoichihirai,689,Address Collision of Contract Address Causes Exceptional Halt,Yoichi Hirai,Stagnant,26,,,,,,,,,,
,,,,,,,,,,zainanvictorzhou,2135,"Consumable Interface (Tickets, etc)",Zainan Victor Zhou,Review,71,,,,,,,,,,
,,,,,,,,,,zainanvictorzhou,5247,Smart Contract Executable Proposal Interface,Zainan Victor Zhou,Draft,71,,,,,,,,,,
,,,,,,,,,,zainanvictorzhou,5269,ERC-identifying Interface,Zainan Victor Zhou,Draft,71,,,,,,,,,,
,,,,,,,,,,zainanvictorzhou,5298,ENS Trust to hold NFTs under ENS name,Zainan Victor Zhou,Draft,71,,,,,,,,,,
,,,,,,,,,,zainanvictorzhou,5453,Endorsement - Permit for Any Functions,Zainan Victor Zhou,Draft,71,,,,,,,,,,
,,,,,,,,,,zainanvictorzhou,5485,"Legitimacy, Jurisdiction and Sovereignty",Zainan Victor Zhou,Draft,71,,,,,,,,,,
,,,,,,,,,,zainanvictorzhou,5679,Token Minting and Burning,Zainan Victor Zhou,Final,71,,,,,,,,,,
,,,,,,,,,,zainanvictorzhou,5750,General Extensibility for Method Behaviors,Zainan Victor Zhou,Final,71,,,,,,,,,,
,,,,,,,,,,zainanzhou,5437,Security Contact Interface,Zainan Zhou,Draft,258,,,,,,,,,,
,,,,,,,,,,zhenyusun,3135,Exclusive Claimable Token,Zhenyu Sun,Stagnant,168,,,,,,,,,,
,,,,,,,,,0age,nickjohnson,2544,ENS Wildcard Resolution,"Nick Johnson, 0age",Stagnant,10,98,,,,,,,,,
,,,,,,,,,0xtriple7,timi,5635,NFT Licensing Agreements,"Timi, 0xTriple7",Draft,283,417,,,,,,,,,
,,,,,,,,,adamlevi,benkaufman,1285,Increase Gcallstipend gas in the CALL opcode,"Ben Kaufman, Adam Levi",Stagnant,79,324,,,,,,,,,
,,,,,,,,,afrischoedon,alexberegszaszi,1679,Hardfork Meta: Istanbul,"Alex Beregszaszi, Afri Schoedon",Final,11,23,,,,,,,,,
,,,,,,,,,alexberegszaszi,caseydetrio,2045,Particle gas costs for EVM opcodes,"Casey Detrio, Alex Beregszaszi",Stagnant,34,11,,,,,,,,,
,,,,,,,,,alexberegszaszi,micahzoltu,3338,Limit account nonce to 2^52,"Micah Zoltu, Alex Beregszaszi",Withdrawn,19,11,,,,,,,,,
,,,,,,,,,alexberegszaszi,pawelbylica,2003,EVMC modules for implementations of precompiled contracts,"Paweł Bylica, Alex Beregszaszi",Stagnant,83,11,,,,,,,,,
,,,,,,,,,alexberegszaszi,sinamahmoodi,2926,Chunk-Based Code Merkleization,"Sina Mahmoodi, Alex Beregszaszi",Stagnant,152,11,,,,,,,,,
,,,,,,,,,alexberegszaszi,zainanvictorzhou,2294,Explicit bound to Chain ID size,"Zainan Victor Zhou, Alex Beregszaszi",Review,71,11,,,,,,,,,
,,,,,,,,,alexvandesande,vitalikbuterin,55,Mixed-case checksum address encoding,"Vitalik Buterin, Alex Van de Sande",Final,1,8,,,,,,,,,
,,,,,,,,,anders,timdaubenschutz,5192,Minimal Soulbound NFTs,"Tim Daubenschutz, Anders",Final,230,223,,,,,,,,,
,,,,,,,,,ansgardietrichs,vitalikbuterin,4488,Transaction calldata gas cost reduction with total calldata limit,"Vitalik Buterin, Ansgar Dietrichs",Stagnant,1,200,,,,,,,,,
,,,,,,,,,bicongwang,xiaoyuwang,1207,DAuth Access Delegation Standard,"Xiaoyu Wang, Bicong Wang",Stagnant,73,321,,,,,,,,,
,,,,,,,,,brettkolodny,kosalahemachandra,5749,The 'window.evmproviders' object,"Kosala Hemachandra, Brett Kolodny",Last Call,290,423,,,,,,,,,
,,,,,,,,,bryanteisenbach,richardmeissner,1344,ChainID opcode,"Richard Meissner, Bryant Eisenbach",Final,82,327,,,,,,,,,
,,,,,,,,,chih-chengliang,dannyryan,1011,Hybrid Casper FFG,"Danny Ryan, Chih-Cheng Liang",Stagnant,50,310,,,,,,,,,
,,,,,,,,,christianreitwiessner,vitalikbuterin,197,Precompiled contracts for optimal ate pairing check on the elliptic curve alt_bn128,"Vitalik Buterin, Christian Reitwiessner",Final,1,4,,,,,,,,,
,,,,,,,,,christianreitwiessner,vitalikbuterin,214,New opcode STATICCALL,"Vitalik Buterin, Christian Reitwiessner",Final,1,4,,,,,,,,,
,,,,,,,,,christiantzurcanu,loredanacirstea,1900,dType - Decentralized Type System for EVM,"Loredana Cirstea, Christian Tzurcanu",Stagnant,111,341,,,,,,,,,
,,,,,,,,,christiantzurcanu,loredanacirstea,1921,dType Functions Extension,"Loredana Cirstea, Christian Tzurcanu",Stagnant,111,341,,,,,,,,,
,,,,,,,,,christiantzurcanu,loredanacirstea,2157,dType Storage Extension - Decentralized Type System for EVM,"Loredana Cirstea, Christian Tzurcanu",Stagnant,111,341,,,,,,,,,
,,,,,,,,,christiantzurcanu,loredanacirstea,2193,dType Alias Extension - Decentralized Type System,"Loredana Cirstea, Christian Tzurcanu",Stagnant,111,341,,,,,,,,,
,,,,,,,,,christophjentzsch,simonjentzsch,1186,RPC-Method to get Merkle Proofs - eth_getProof,"Simon Jentzsch, Christoph Jentzsch",Stagnant,69,317,,,,,,,,,
,,,,,,,,,coalalicensingtaskforce,isaacpatka,5554,"NFT Legal Use, Repurposing, and Remixing","Isaac Patka, COALA Licensing Taskforce",Draft,270,409,,,,,,,,,
,,,,,,,,,danescarborough,rexcreed,4353,Interface for Staked Tokens in NFTs,"Rex Creed, Dane Scarborough",Draft,197,375,,,,,,,,,
,,,,,,,,,danfinlay,nickmudge,173,Contract Ownership Standard,"Nick Mudge, Dan Finlay",Final,16,31,,,,,,,,,
,,,,,,,,,danfinlay,vincenteli,1775,"App Keys, application specific wallet accounts","Vincent Eli, Dan Finlay",Stagnant,105,31,,,,,,,,,
,,,,,,,,,dannyryan,alexstokes,4788,Beacon state root in the EVM,"Alex Stokes, Danny Ryan",Draft,215,50,,,,,,,,,
,,,,,,,,,dannyryan,alexstokes,4863,Beacon chain push withdrawals,"Alex Stokes, Danny Ryan",Stagnant,215,50,,,,,,,,,
,,,,,,,,,dannyryan,alexstokes,4895,Beacon chain push withdrawals as operations,"Alex Stokes, Danny Ryan",Review,215,50,,,,,,,,,
,,,,,,,,,dannyryan,mikhailkalinin,4399,Supplant DIFFICULTY opcode with PREVRANDAO,"Mikhail Kalinin, Danny Ryan",Final,190,50,,,,,,,,,
,,,,,,,,,dannyryan,mikhailkalinin,6110,Supply validator deposits on chain,"Mikhail Kalinin, Danny Ryan",Draft,190,50,,,,,,,,,
,,,,,,,,,drortirosh,alexforshtat,2770,Meta-Transactions Forwarder Contract,"Alex Forshtat, Dror Tirosh",Stagnant,102,336,,,,,,,,,
,,,,,,,,,edwardamor,charlescooper,5202,Blueprint contract format,"Charles Cooper, Edward Amor",Review,110,399,,,,,,,,,
,,,,,,,,,ericdvorsak,ricardoguilhermeschmidt,2400,Transaction Receipt URI,"Ricardo Guilherme Schmidt, Eric Dvorsak",Review,132,348,,,,,,,,,
,,,,,,,,,erikmarks,danfinlay,2255,Wallet Permissions System,"Dan Finlay, Erik Marks",Stagnant,31,167,,,,,,,,,
,,,,,,,,,erikmarks,micahzoltu,2696,JavaScript `request` method RPC transport,"Micah Zoltu, Erik Marks",Final,19,167,,,,,,,,,
,,,,,,,,,erikmarks,micahzoltu,2700,JavaScript Provider Event Emitter,"Micah Zoltu, Erik Marks",Final,19,167,,,,,,,,,
,,,,,,,,,erikmarks,micahzoltu,2786,Ethereum Provider Connect/Disconnect Events,"Micah Zoltu, Erik Marks",Withdrawn,19,167,,,,,,,,,
,,,,,,,,,erikmarks,paulbouchon,1102,Opt-in account exposure,"Paul Bouchon, Erik Marks",Stagnant,57,167,,,,,,,,,
,,,,,,,,,erikmarks,paulbouchon,1474,Remote procedure call specification,"Paul Bouchon, Erik Marks",Stagnant,57,167,,,,,,,,,
,,,,,,,,,erikmarks,pedrogomes,2015,Wallet Update Ethereum Chain RPC Method (`wallet_updateEthereumChain`),"Pedro Gomes, Erik Marks",Stagnant,120,167,,,,,,,,,
,,,,,,,,,estebanmino,danfinlay,747,Add wallet_watchAsset to Provider,"Dan Finlay, Esteban Mino",Stagnant,31,304,,,,,,,,,
,,,,,,,,,fabienmarino,jorgeizquierdo,3000,Optimistic enactment governance standard,"Jorge Izquierdo, Fabien Marino",Stagnant,42,362,,,,,,,,,
,,,,,,,,,felixlange,peterszilagyi,2124,Fork identifier for chain compatibility checks,"Peter Szilagyi, Felix Lange",Final,18,6,,,,,,,,,
,,,,,,,,,friedl.trout,firnprotocol,5630,New approach for encryption / decryption,"Firn Protocol, Fried L. Trout",Draft,281,416,,,,,,,,,
,,,,,,,,,georgespasov,danielivanov,4400,EIP-721 Consumable Extension,"Daniel Ivanov, George Spasov",Final,201,377,,,,,,,,,
,,,,,,,,,gregcolvin,gregcolvin,4573,Procedures for the EVM,"Greg Colvin, Greg Colvin",Stagnant,20,20,,,,,,,,,
,,,,,,,,,isaacbuckman,davidbuckman,4799,Non-Fungible Token Ownership Designation Standard,"David Buckman, Isaac Buckman",Stagnant,216,383,,,,,,,,,
,,,,,,,,,jacquesdafflon,jordibaylina,820,Pseudo-introspection Registry Contract,"Jordi Baylina, Jacques Dafflon",Final,36,33,,,,,,,,,
,,,,,,,,,jacquesdafflon,jordibaylina,1820,Pseudo-introspection Registry Contract,"Jordi Baylina, Jacques Dafflon",Final,36,33,,,,,,,,,
,,,,,,,,,jacqueswagener,alexberegszaszi,1380,Reduced gas cost for call to self,"Alex Beregszaszi, Jacques Wagener",Stagnant,11,329,,,,,,,,,
,,,,,,,,,jamessangalli,weiwuzhang,875,Simpler NFT standard with batching and native atomic swaps,"Weiwu Zhang, James Sangalli",Withdrawn,40,306,,,,,,,,,
,,,,,,,,,jamessangalli,weiwuzhang,1386,Attestation management contract,"Weiwu Zhang, James Sangalli",Stagnant,40,306,,,,,,,,,
,,,,,,,,,jamessangalli,weiwuzhang,1387,Merkle Tree Attestations with Privacy enabled,"Weiwu Zhang, James Sangalli",Stagnant,40,306,,,,,,,,,
,,,,,,,,,jamessangalli,weiwuzhang,1388,Attestation Issuers Management List,"Weiwu Zhang, James Sangalli",Stagnant,40,306,,,,,,,,,
,,,,,,,,,jeanm.cyr,pawelbylica,1355,Ethash 1a,"Paweł Bylica, Jean M. Cyr",Withdrawn,83,328,,,,,,,,,
,,,,,,,,,jennifercooper,brooklynzelenka,1444,Localized Messaging with Signal-to-Text,"Brooklyn Zelenka, Jennifer Cooper",Stagnant,44,330,,,,,,,,,
,,,,,,,,,jimmcdonald,benjaminchodroff,4736,Consensus Layer Withdrawal Protection,"Benjamin Chodroff, Jim McDonald",Stagnant,212,68,,,,,,,,,
,,,,,,,,,joeltorstensson,pellebraendgaard,1056,Ethereum Lightweight Identity,"Pelle Braendgaard, Joel Torstensson",Stagnant,53,312,,,,,,,,,
,,,,,,,,,jorgeizquierdo,deaneigenmann,900,Simple Staking Interface,"Dean Eigenmann, Jorge Izquierdo",Stagnant,43,42,,,,,,,,,
,,,,,,,,,juanblanco,aaronkendall,2746,Rules Engine Standard,"Aaron Kendall, Juan Blanco",Stagnant,146,354,,,,,,,,,
,,,,,,,,,juancarloscanto,ivanmanus,5216,EIP-1155 Approval By Amount Extension,"Ivan Manus, Juan Carlos Canto",Last Call,251,400,,,,,,,,,
,,,,,,,,,juliansvirsky,maximkupriianov,1462,Base Security Token,"Maxim Kupriianov, Julian Svirsky",Stagnant,86,332,,,,,,,,,
,,,,,,,,,keikreutler,aurynmacmillan,5005,Zodiac Modular Accounts,"Auryn Macmillan, Kei Kreutler",Review,191,389,,,,,,,,,
,,,,,,,,,kellyolson,alexvlasov,2537,Precompile for BLS12-381 curve operations,"Alex Vlasov, Kelly Olson",Stagnant,115,139,,,,,,,,,
,,,,,,,,,laurentaapro,cyrillapinte,1592,Address and ERC20-compliant transfer rules,"Cyril Lapinte, Laurent Aapro",Stagnant,96,335,,,,,,,,,
,,,,,,,,,louisguthmann,tombrand,2645,Hierarchical Deterministic Wallet for Layer-2,"Tom Brand, Louis Guthmann",Stagnant,144,353,,,,,,,,,
,,,,,,,,,lucadonno,samuelemarro,5375,NFT Author Information and Consent,"Samuele Marro, Luca Donno",Final,257,404,,,,,,,,,
,,,,,,,,,manuelaraoz,jorgeizquierdo,897,DelegateProxy,"Jorge Izquierdo, Manuel Araoz",Stagnant,42,307,,,,,,,,,
,,,,,,,,,mariusvanderwijden,afrischoedon,1716,Hardfork Meta: Petersburg,"Afri Schoedon, Marius van der Wijden",Final,23,226,,,,,,,,,
,,,,,,,,,mariusvanderwijden,martinholstswende,3155,EVM trace specification,"Martin Holst Swende, Marius van der Wijden",Stagnant,2,226,,,,,,,,,
,,,,,,,,,martinholstswende,felixjlange,1682,Storage Rent,"Felix J Lange, Martin Holst Swende",Withdrawn,101,2,,,,,,,,,
,,,,,,,,,martinmoravek,jarnomarttila,5023,Shareable Non-Fungible Token,"Jarno Marttila, Martin Moravek",Last Call,236,390,,,,,,,,,
,,,,,,,,,martinswende,vitalikbuterin,2929,Gas cost increases for state access opcodes,"Vitalik Buterin, Martin Swende",Final,1,358,,,,,,,,,
,,,,,,,,,martinswende,vitalikbuterin,2930,Optional access lists,"Vitalik Buterin, Martin Swende",Final,1,358,,,,,,,,,
,,,,,,,,,martinswende,vitalikbuterin,3298,Removal of refunds,"Vitalik Buterin, Martin Swende",Stagnant,1,358,,,,,,,,,
,,,,,,,,,martinswende,vitalikbuterin,3403,Partial removal of refunds,"Vitalik Buterin, Martin Swende",Stagnant,1,358,,,,,,,,,
,,,,,,,,,martinswende,vitalikbuterin,3529,Reduction in refunds,"Vitalik Buterin, Martin Swende",Final,1,358,,,,,,,,,
,,,,,,,,,matiasarazi,lucasmartingrassoramos,5516,Soulbound Multi-owner Tokens,"Lucas Martín Grasso Ramos, Matias Arazi",Review,265,406,,,,,,,,,
,,,,,,,,,mattstam,zainanvictorzhou,5732,Commit Interface,"Zainan Victor Zhou, Matt Stam",Final,71,421,,,,,,,,,
,,,,,,,,,micahzoltu,jamesray,908,Reward clients for a sustainable network,"James Ray, Micah Zoltu",Withdrawn,45,19,,,,,,,,,
,,,,,,,,,micahzoltu,nickjohnson,600,Ethereum purpose allocation for Deterministic Wallets,"Nick Johnson, Micah Zoltu",Final,10,19,,,,,,,,,
,,,,,,,,,micahzoltu,nickjohnson,601,Ethereum hierarchy for deterministic wallets,"Nick Johnson, Micah Zoltu",Final,10,19,,,,,,,,,
,,,,,,,,,mihirfaujdar,braytongoodall,4520,Mult-byte opcodes prefixed by EB and EC.,"Brayton Goodall, Mihir Faujdar",Stagnant,205,379,,,,,,,,,
,,,,,,,,,mikhailmelnik,antonbukov,3978,Gas refunds on reverts,"Anton Bukov, Mikhail Melnik",Stagnant,195,374,,,,,,,,,
,,,,,,,,,mineruniter969,mineruniter969,3372,5 FNV primes for ethash,"mineruniter969, mineruniter969",Stagnant,175,175,,,,,,,,,
,,,,,,,,,minzu,jeffhuang,1203,ERC-1203 Multi-Class Token Standard (ERC-20 Extension),"Jeff Huang, Min Zu",Stagnant,72,320,,,,,,,,,
,,,,,,,,,mojtabatefagh,hexzorro,3416,Median Gas Premium,"HexZorro, Mojtaba Tefagh",Stagnant,179,367,,,,,,,,,
,,,,,,,,,moodysalem,alexeyakhunov,1153,Transient storage opcodes,"Alexey Akhunov, Moody Salem",Last Call,62,294,,,,,,,,,
,,,,,,,,,nickjohnson,deaneigenmann,1577,contenthash field for ENS,"Dean Eigenmann, Nick Johnson",Stagnant,43,10,,,,,,,,,
,,,,,,,,,nickjohnson,martinholstswende,191,Signed Data Standard,"Martin Holst Swende, Nick Johnson",Final,2,10,,,,,,,,,
,,,,,,,,,nickjohnson,paulgauvreau,5559,Cross Chain Write Deferral Protocol,"Paul Gauvreau, Nick Johnson",Draft,271,10,,,,,,,,,
,,,,,,,,,nickjohnson,richardmoore,2098,Compact Signature Representation,"Richard Moore, Nick Johnson",Final,22,10,,,,,,,,,
,,,,,,,,,nickjohnson,richardmoore,3224,Described Data,"Richard Moore, Nick Johnson",Stagnant,22,10,,,,,,,,,
,,,,,,,,,nickjohnson,richardmoore,4430,Described Transactions,"Richard Moore, Nick Johnson",Stagnant,22,10,,,,,,,,,
,,,,,,,,,nickmudge,sohamzemse,2767,Contract Ownership Governance,"Soham Zemse, Nick Mudge",Stagnant,147,16,,,,,,,,,
,,,,,,,,,nikolaimushegian,alexberegszaszi,140,REVERT instruction,"Alex Beregszaszi, Nikolai Mushegian",Final,11,298,,,,,,,,,
,,,,,,,,,pandapip1,elie222,5507,Refundable Tokens,"elie222, Pandapip1",Draft,264,219,,,,,,,,,
,,,,,,,,,parthabhattacharya,chaitanyapotti,1261,Membership Verification Token (MVT),"Chaitanya Potti, Partha Bhattacharya",Stagnant,75,322,,,,,,,,,
,,,,,,,,,parthabhattacharya,chaitanyapotti,1417,Poll Standard,"Chaitanya Potti, Partha Bhattacharya",Stagnant,75,322,,,,,,,,,
,,,,,,,,,patrickgallagher,gabrielbarros,1822,Universal Upgradeable Proxy Standard (UUPS),"Gabriel Barros, Patrick Gallagher",Stagnant,106,340,,,,,,,,,
