EIP_Number,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,betweenness_centrality
3041,Abdelhamid Bakhta,,,,,,,,,,,0.0018045240206921278
3044,Abdelhamid Bakhta,,,,,,,,,,,0.0018045240206921278
3045,Abdelhamid Bakhta,,,,,,,,,,,0.0018045240206921278
3046,Abdelhamid Bakhta,,,,,,,,,,,0.0018045240206921278
2159,Adrian Sutton,,,,,,,,,,,0.0
999,Afri Schoedon,,,,,,,,,,,0.0012566254772400673
1234,Afri Schoedon,,,,,,,,,,,0.0012566254772400673
3238,Afri Schoedon,,,,,,,,,,,0.0012566254772400673
5719,Agustin Aguilar,,,,,,,,,,,0.0
1154,Alan Lu,,,,,,,,,,,0.0
1178,Albert Chon,,,,,,,,,,,0.0
1895,Alexandre Belling,,,,,,,,,,,0.0
141,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
233,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
606,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
607,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
608,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
609,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
663,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
1352,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
1803,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2014,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2046,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2069,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2070,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2488,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2681,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
4803,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
6046,Alex Beregszaszi,,,,,,,,,,,0.009374220512254564
2026,Alexey Akhunov,,,,,,,,,,,0.002667247632949019
2027,Alexey Akhunov,,,,,,,,,,,0.002667247632949019
2029,Alexey Akhunov,,,,,,,,,,,0.002667247632949019
2031,Alexey Akhunov,,,,,,,,,,,0.002667247632949019
2035,Alexey Akhunov,,,,,,,,,,,0.002667247632949019
2542,Alex Forshtat,,,,,,,,,,,0.0
5050,Alexi,,,,,,,,,,,0.0
3508,Alex Papageorgiou,,,,,,,,,,,0.0
3520,Alex Papageorgiou,,,,,,,,,,,0.0
67,Alex Van de Sande,,,,,,,,,,,0.011540309654139087
1015,Alex Van de Sande,,,,,,,,,,,0.011540309654139087
1078,Alex Van de Sande,,,,,,,,,,,0.011540309654139087
1962,Alex Vlasov,,,,,,,,,,,0.0
2539,Alex Vlasov,,,,,,,,,,,0.0
2666,Alex Vlasov,,,,,,,,,,,0.0
1010,Anderson Wesley,,,,,,,,,,,0.0
4910,Andreas Freund,,,,,,,,,,,0.0
4396,Ansgar Dietrichs,,,,,,,,,,,0.000784063196908497
5564,Anton Wahrstätter,,,,,,,,,,,0.0
3722,Auryn Macmillan,,,,,,,,,,,0.0
3143,Ben Tinner,,,,,,,,,,,0.0
1080,Bradley Leatherwood,,,,,,,,,,,0.0
1295,Brian Venturo,,,,,,,,,,,0.0
1710,Bruno Barbieri,,,,,,,,,,,0.0
5484,Buzz Cai,,,,,,,,,,,0.0
3386,Calvin Koder,,,,,,,,,,,0.0
2333,Carl Beekhuizen,,,,,,,,,,,0.0
2334,Carl Beekhuizen,,,,,,,,,,,0.0
2335,Carl Beekhuizen,,,,,,,,,,,0.0
858,Carl Larson,,,,,,,,,,,0.0
779,Casey Detrio,,,,,,,,,,,0.0
1898,Charles Cooper,,,,,,,,,,,0.0007561614495144647
5,Christian Reitwiessner,,,,,,,,,,,0.012259834608460623
196,Christian Reitwiessner,,,,,,,,,,,0.012259834608460623
211,Christian Reitwiessner,,,,,,,,,,,0.012259834608460623
2481,Christoph Burgdorf,,,,,,,,,,,0.0
5185,Christophe Le Bars,,,,,,,,,,,0.0
1523,Christoph Mussenbrock,,,,,,,,,,,0.0
698,Cody Burns,,,,,,,,,,,0.0
5643,cygaar,,,,,,,,,,,0.0
2593,Dan Finlay,,,,,,,,,,,0.004590756257929443
681,Daniel A. Nagy,,,,,,,,,,,0.0
2009,Daniel Lehrner,,,,,,,,,,,0.0
3450,Daniel Streit,,,,,,,,,,,0.0
4974,Daniel Tedesco,,,,,,,,,,,0.0
1872,Danno Ferrin,,,,,,,,,,,0.0
3436,Danno Ferrin,,,,,,,,,,,0.0
884,Dave Sag,,,,,,,,,,,0.0
4675,David Kim,,,,,,,,,,,0.0
969,David Stanfill,,,,,,,,,,,0.0
5187,DerivStudio,,,,,,,,,,,0.0
4987,Devin Conley,,,,,,,,,,,0.0
3068,Dr. Christopher Gorman,,,,,,,,,,,0.0
2458,Edson Ayllon,,,,,,,,,,,0.0
1276,EOS Classic,,,,,,,,,,,0.0
2384,Eric Conner,,,,,,,,,,,0.0
3326,Erik Marks,,,,,,,,,,,0.009789356173348703
8,Felix Lange,,,,,,,,,,,0.0010497076785010821
778,Felix Lange,,,,,,,,,,,0.0010497076785010821
868,Felix Lange,,,,,,,,,,,0.0010497076785010821
5753,Filipp Makarov,,,,,,,,,,,0.0
2520,Filip Stamcar,,,,,,,,,,,0.0
5267,Francisco Giordano,,,,,,,,,,,0.001859482504030308
5625,Gavin Fu,,,,,,,,,,,0.0
161,Gavin Wood,,,,,,,,,,,0.0
1470,Gerhard Wagner,,,,,,,,,,,0.0
2848,Giuseppe Bertone,,,,,,,,,,,0.0
5022,Green,,,,,,,,,,,0.0
616,Greg Colvin,,,,,,,,,,,0.002020397674327301
2831,Gregory Markou,,,,,,,,,,,0.0
3709,Gregory Markou,,,,,,,,,,,0.0
3788,Gregory Markou,,,,,,,,,,,0.0
2584,Guillaume Ballet,,,,,,,,,,,0.0
2525,Hadrien Croubois,,,,,,,,,,,0.004073341457675654
5143,Hadrien Croubois,,,,,,,,,,,0.004073341457675654
5806,Hadrien Croubois,,,,,,,,,,,0.004073341457675654
3030,Herman Junge,,,,,,,,,,,0.0
5633,HonorLabs,,,,,,,,,,,0.0
6,Hudson Jameson,,,,,,,,,,,0.0
1491,Iamnot Chris,,,,,,,,,,,0.0
4955,Ignacio Mazzara,,,,,,,,,,,0.0
1588,Ikmyeong Na,,,,,,,,,,,0.0
5489,IronMan_CH,,,,,,,,,,,0.0
3534,Isaac Ardis,,,,,,,,,,,0.0
758,Jack Peterson,,,,,,,,,,,0.0
2390,James Choncholas,,,,,,,,,,,0.0
2025,James Hancock,,,,,,,,,,,0.0013658573605390377
2378,James Hancock,,,,,,,,,,,0.0013658573605390377
2387,James Hancock,,,,,,,,,,,0.0013658573605390377
2515,James Hancock,,,,,,,,,,,0.0013658573605390377
2657,James Hancock,,,,,,,,,,,0.0013658573605390377
3554,James Hancock,,,,,,,,,,,0.0013658573605390377
1129,Jan Turk,,,,,,,,,,,0.0
5496,Jeremy Z,,,,,,,,,,,0.0
1175,Jet Lim,,,,,,,,,,,0.0
1438,Jet Lim,,,,,,,,,,,0.0
1185,Jim McDonald,,,,,,,,,,,0.0
2386,Jim McDonald,,,,,,,,,,,0.0
2680,Jim McDonald,,,,,,,,,,,0.0
2844,Joel Thorstensson,,,,,,,,,,,0.0
2242,John Adler,,,,,,,,,,,0.0
2876,Jonathan Underwood,,,,,,,,,,,0.0
1109,Jordi Baylina,,,,,,,,,,,0.0029957018191290757
4,Joseph Chow,,,,,,,,,,,0.0
2566,Joseph Stockermans,,,,,,,,,,,0.0
4393,Jules Lai,,,,,,,,,,,0.0
4885,Jules Lai,,,,,,,,,,,0.0
1191,Juliano Rizzo,,,,,,,,,,,0.0
3332,Justice Hudson,,,,,,,,,,,0.0
4546,Justice Hudson,,,,,,,,,,,0.0
823,Kashish Khullar,,,,,,,,,,,0.0
2615,Kohshi Shiba,,,,,,,,,,,0.0
3756,lightclient,,,,,,,,,,,0.0
801,ligi,,,,,,,,,,,0.004428428776103851
831,ligi,,,,,,,,,,,0.004428428776103851
5505,liszechung,,,,,,,,,,,0.0
2256,Loredana Cirstea,,,,,,,,,,,0.0
5793,Marius van der Wijden,,,,,,,,,,,0.0037349699075771947
4881,Mark Mackey,,,,,,,,,,,0.0
3,Martin Holst Swende,,,,,,,,,,,0.0054458845842003225
1681,Martin Holst Swende,,,,,,,,,,,0.0054458845842003225
1884,Martin Holst Swende,,,,,,,,,,,0.0054458845842003225
2583,Martin Holst Swende,,,,,,,,,,,0.0054458845842003225
2327,Martin Lundfall,,,,,,,,,,,0.0
2612,Martin Lundfall,,,,,,,,,,,0.0
3005,Matt,,,,,,,,,,,0.0
2733,Matt Garnett,,,,,,,,,,,0.0015402246464229616
3521,Matt Garnett,,,,,,,,,,,0.0015402246464229616
1482,Maurelian,,,,,,,,,,,0.0
234,Micah Zoltu,,,,,,,,,,,0.0065010813322343725
1240,Micah Zoltu,,,,,,,,,,,0.0065010813322343725
2711,Micah Zoltu,,,,,,,,,,,0.0065010813322343725
2718,Micah Zoltu,,,,,,,,,,,0.0065010813322343725
2803,Micah Zoltu,,,,,,,,,,,0.0065010813322343725
2972,Micah Zoltu,,,,,,,,,,,0.0065010813322343725
2976,Micah Zoltu,,,,,,,,,,,0.0065010813322343725
5114,Micah Zoltu,,,,,,,,,,,0.0065010813322343725
3368,Michael D. Carter,,,,,,,,,,,0.0
1581,Michele Balistreri,,,,,,,,,,,0.0
5792,Moody Salem,,,,,,,,,,,0.0
5065,Mudit Gupta,,,,,,,,,,,0.0
5646,Naim Ashhab,,,,,,,,,,,0.0
3440,Nathan Ginnever,,,,,,,,,,,0.0
137,Nick Johnson,,,,,,,,,,,0.021794908132318613
181,Nick Johnson,,,,,,,,,,,0.021794908132318613
205,Nick Johnson,,,,,,,,,,,0.021794908132318613
658,Nick Johnson,,,,,,,,,,,0.021794908132318613
926,Nick Johnson,,,,,,,,,,,0.021794908132318613
927,Nick Johnson,,,,,,,,,,,0.021794908132318613
1051,Nick Johnson,,,,,,,,,,,0.021794908132318613
1087,Nick Johnson,,,,,,,,,,,0.021794908132318613
1844,Nick Johnson,,,,,,,,,,,0.021794908132318613
2304,Nick Johnson,,,,,,,,,,,0.021794908132318613
3336,Nick Johnson,,,,,,,,,,,0.021794908132318613
3337,Nick Johnson,,,,,,,,,,,0.021794908132318613
3668,Nick Johnson,,,,,,,,,,,0.021794908132318613
1538,Nick Mudge,,,,,,,,,,,0.0022540123590790023
2535,Nick Mudge,,,,,,,,,,,0.0022540123590790023
1013,Nick Savers,,,,,,,,,,,0.0
1132,nitika-goel,,,,,,,,,,,0.0
4886,Omnus Sunmo,,,,,,,,,,,0.0
4834,Pandapip1,,,,,,,,,,,0.003069408193086814
5219,Pandapip1,,,,,,,,,,,0.003069408193086814
5289,Pandapip1,,,,,,,,,,,0.003069408193086814
5568,Pandapip1,,,,,,,,,,,0.003069408193086814
5615,Pandapip1,,,,,,,,,,,0.003069408193086814
1620,Paul Berg,,,,,,,,,,,0.0
5850,Paul Edge,,,,,,,,,,,0.0
3091,Pedro Gomes,,,,,,,,,,,0.004257119472245597
1812,Pelle Braendgaard,,,,,,,,,,,0.0
4747,Peter Davies,,,,,,,,,,,0.0
3014,Peter Grassberger,,,,,,,,,,,0.0
225,Peter Szilagyi,,,,,,,,,,,1.9898985513538545e-05
706,Peter Szilagyi,,,,,,,,,,,1.9898985513538545e-05
3382,Philippe Castonguay,,,,,,,,,,,0.002727801871893807
3448,pinkiebell,,,,,,,,,,,0.0
5018,Qi Zhou,,,,,,,,,,,0.0007561614495144647
5027,Qi Zhou,,,,,,,,,,,0.0007561614495144647
5478,Qi Zhou,,,,,,,,,,,0.0007561614495144647
3374,Query0x,,,,,,,,,,,0.0
1829,Remco Bloemen,,,,,,,,,,,0.0
2470,Ricardo Guilherme Schmidt,,,,,,,,,,,0.009974818738331958
2474,Ricardo Guilherme Schmidt,,,,,,,,,,,0.009974818738331958
634,Richard Moore,,,,,,,,,,,0.0
107,Ronan Sandford,,,,,,,,,,,0.004664009749944416
1930,Ronan Sandford,,,,,,,,,,,0.004664009749944416
1959,Ronan Sandford,,,,,,,,,,,0.004664009749944416
1965,Ronan Sandford,,,,,,,,,,,0.004664009749944416
5409,Ronan Sandford,,,,,,,,,,,0.004664009749944416
4521,Ross Campbell,,,,,,,,,,,0.0
5553,Roy Osherove,,,,,,,,,,,0.0
3561,Sam Porter,,,,,,,,,,,0.0
5139,Sam Wilson,,,,,,,,,,,0.005100200828612236
5757,Sam Wilson,,,,,,,,,,,0.005100200828612236
5570,Sean Darcy,,,,,,,,,,,0.0
2309,Sean Papanikolas,,,,,,,,,,,0.0
3569,Sean Papanikolas,,,,,,,,,,,0.0
5283,Sergio D. Lerner,,,,,,,,,,,0.0
2997,Sergio Demian Lerner,,,,,,,,,,,0.0
3754,Simon Tian,,,,,,,,,,,0.0
4341,Simon Tian,,,,,,,,,,,0.0
1227,SmeargleUsedFly,,,,,,,,,,,0.0
3772,Soham Zemse,,,,,,,,,,,0.0
5528,StartfundInc,,,,,,,,,,,0.0
665,Tobias Oberstein,,,,,,,,,,,0.0
2,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
7,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
86,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
100,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
101,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
150,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
155,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
158,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
160,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
170,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
198,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
210,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
1014,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
2937,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
2970,Vitalik Buterin,,,,,,,,,,,0.028981662811550186
1363,Vittorio Minacori,,,,,,,,,,,0.0
627,Vlad Gluhovsky,,,,,,,,,,,0.0
1283,Wei Tang,,,,,,,,,,,0.0
1702,Wei Tang,,,,,,,,,,,0.0
2200,Wei Tang,,,,,,,,,,,0.0
1418,William Entriken,,,,,,,,,,,0.0050934984553721325
2228,William Entriken,,,,,,,,,,,0.0050934984553721325
5313,William Entriken,,,,,,,,,,,0.0050934984553721325
6049,William Entriken,,,,,,,,,,,0.0050934984553721325
2936,William Morriss,,,,,,,,,,,0.0
3300,William Morriss,,,,,,,,,,,0.0
3322,William Morriss,,,,,,,,,,,0.0
3651,William Morriss,,,,,,,,,,,0.0
4524,William Schwab,,,,,,,,,,,0.0
5334,Yan,,,,,,,,,,,0.0
689,Yoichi Hirai,,,,,,,,,,,0.0
2135,Zainan Victor Zhou,,,,,,,,,,,0.005570537459565463
5247,Zainan Victor Zhou,,,,,,,,,,,0.005570537459565463
5269,Zainan Victor Zhou,,,,,,,,,,,0.005570537459565463
5298,Zainan Victor Zhou,,,,,,,,,,,0.005570537459565463
5453,Zainan Victor Zhou,,,,,,,,,,,0.005570537459565463
5485,Zainan Victor Zhou,,,,,,,,,,,0.005570537459565463
5679,Zainan Victor Zhou,,,,,,,,,,,0.005570537459565463
5750,Zainan Victor Zhou,,,,,,,,,,,0.005570537459565463
5437,Zainan Zhou,,,,,,,,,,,0.0
3135,Zhenyu Sun,,,,,,,,,,,0.0
2544,Nick Johnson,0age,,,,,,,,,,0.02395349693534149
5635,Timi,0xTriple7,,,,,,,,,,0.0
1285,Ben Kaufman,Adam Levi,,,,,,,,,,0.0
1679,Alex Beregszaszi,Afri Schoedon,,,,,,,,,,0.010630845989494632
2045,Casey Detrio,Alex Beregszaszi,,,,,,,,,,0.009374220512254564
3338,Micah Zoltu,Alex Beregszaszi,,,,,,,,,,0.01587530184448894
2003,Paweł Bylica,Alex Beregszaszi,,,,,,,,,,0.014309146292797337
2926,Sina Mahmoodi,Alex Beregszaszi,,,,,,,,,,0.009374220512254564
2294,Zainan Victor Zhou,Alex Beregszaszi,,,,,,,,,,0.014944757971820027
55,Vitalik Buterin,Alex Van de Sande,,,,,,,,,,0.040521972465689275
5192,Tim Daubenschutz,Anders,,,,,,,,,,3.6179973660979174e-05
4488,Vitalik Buterin,Ansgar Dietrichs,,,,,,,,,,0.029765726008458684
1207,Xiaoyu Wang,Bicong Wang,,,,,,,,,,0.0
5749,Kosala Hemachandra,Brett Kolodny,,,,,,,,,,0.0
1344,Richard Meissner,Bryant Eisenbach,,,,,,,,,,0.004649146715421193
1011,Danny Ryan,Chih-Cheng Liang,,,,,,,,,,0.004849783130836402
197,Vitalik Buterin,Christian Reitwiessner,,,,,,,,,,0.041241497420010806
214,Vitalik Buterin,Christian Reitwiessner,,,,,,,,,,0.041241497420010806
1900,Loredana Cirstea,Christian Tzurcanu,,,,,,,,,,0.0
1921,Loredana Cirstea,Christian Tzurcanu,,,,,,,,,,0.0
2157,Loredana Cirstea,Christian Tzurcanu,,,,,,,,,,0.0
2193,Loredana Cirstea,Christian Tzurcanu,,,,,,,,,,0.0
1186,Simon Jentzsch,Christoph Jentzsch,,,,,,,,,,0.0
5554,Isaac Patka,COALA Licensing Taskforce,,,,,,,,,,1.8089986830489587e-05
4353,Rex Creed,Dane Scarborough,,,,,,,,,,0.0
173,Nick Mudge,Dan Finlay,,,,,,,,,,0.006844768617008445
1775,Vincent Eli,Dan Finlay,,,,,,,,,,0.004590756257929443
4788,Alex Stokes,Danny Ryan,,,,,,,,,,0.004946909131557245
4863,Alex Stokes,Danny Ryan,,,,,,,,,,0.004946909131557245
4895,Alex Stokes,Danny Ryan,,,,,,,,,,0.004946909131557245
4399,Mikhail Kalinin,Danny Ryan,,,,,,,,,,0.004849783130836402
6110,Mikhail Kalinin,Danny Ryan,,,,,,,,,,0.004849783130836402
2770,Alex Forshtat,Dror Tirosh,,,,,,,,,,0.003325389426903005
5202,Charles Cooper,Edward Amor,,,,,,,,,,0.0007561614495144647
2400,Ricardo Guilherme Schmidt,Eric Dvorsak,,,,,,,,,,0.009974818738331958
2255,Dan Finlay,Erik Marks,,,,,,,,,,0.014380112431278146
2696,Micah Zoltu,Erik Marks,,,,,,,,,,0.016290437505583073
2700,Micah Zoltu,Erik Marks,,,,,,,,,,0.016290437505583073
2786,Micah Zoltu,Erik Marks,,,,,,,,,,0.016290437505583073
1102,Paul Bouchon,Erik Marks,,,,,,,,,,0.009789356173348703
1474,Paul Bouchon,Erik Marks,,,,,,,,,,0.009789356173348703
2015,Pedro Gomes,Erik Marks,,,,,,,,,,0.0140464756455943
747,Dan Finlay,Esteban Mino,,,,,,,,,,0.004590756257929443
3000,Jorge Izquierdo,Fabien Marino,,,,,,,,,,0.003112109826259564
2124,Peter Szilagyi,Felix Lange,,,,,,,,,,0.0010696066640146207
5630,Firn Protocol,Fried L. Trout,,,,,,,,,,0.0
4400,Daniel Ivanov,George Spasov,,,,,,,,,,0.0
4573,Greg Colvin,Greg Colvin,,,,,,,,,,0.004040795348654602
4799,David Buckman,Isaac Buckman,,,,,,,,,,0.0
820,Jordi Baylina,Jacques Dafflon,,,,,,,,,,0.0029957018191290757
1820,Jordi Baylina,Jacques Dafflon,,,,,,,,,,0.0029957018191290757
1380,Alex Beregszaszi,Jacques Wagener,,,,,,,,,,0.009374220512254564
875,Weiwu Zhang,James Sangalli,,,,,,,,,,0.0
1386,Weiwu Zhang,James Sangalli,,,,,,,,,,0.0
1387,Weiwu Zhang,James Sangalli,,,,,,,,,,0.0
1388,Weiwu Zhang,James Sangalli,,,,,,,,,,0.0
1355,Paweł Bylica,Jean M. Cyr,,,,,,,,,,0.0049349257805427725
1444,Brooklyn Zelenka,Jennifer Cooper,,,,,,,,,,0.002442393734198631
4736,Benjamin Chodroff,Jim McDonald,,,,,,,,,,0.0
1056,Pelle Braendgaard,Joel Torstensson,,,,,,,,,,0.0
900,Dean Eigenmann,Jorge Izquierdo,,,,,,,,,,0.006071760279593466
2746,Aaron Kendall,Juan Blanco,,,,,,,,,,0.0
5216,Ivan Manus,Juan Carlos Canto,,,,,,,,,,0.0
1462,Maxim Kupriianov,Julian Svirsky,,,,,,,,,,0.0
5005,Auryn Macmillan,Kei Kreutler,,,,,,,,,,0.0
2537,Alex Vlasov,Kelly Olson,,,,,,,,,,0.0007561614495144647
1592,Cyril Lapinte,Laurent Aapro,,,,,,,,,,0.0
2645,Tom Brand,Louis Guthmann,,,,,,,,,,0.0
5375,Samuele Marro,Luca Donno,,,,,,,,,,0.0
897,Jorge Izquierdo,Manuel Araoz,,,,,,,,,,0.003112109826259564
1716,Afri Schoedon,Marius van der Wijden,,,,,,,,,,0.004991595384817262
3155,Martin Holst Swende,Marius van der Wijden,,,,,,,,,,0.009180854491777517
1682,Felix J Lange,Martin Holst Swende,,,,,,,,,,0.0054458845842003225
5023,Jarno Marttila,Martin Moravek,,,,,,,,,,0.0
2929,Vitalik Buterin,Martin Swende,,,,,,,,,,0.030415213977698453
2930,Vitalik Buterin,Martin Swende,,,,,,,,,,0.030415213977698453
3298,Vitalik Buterin,Martin Swende,,,,,,,,,,0.030415213977698453
3403,Vitalik Buterin,Martin Swende,,,,,,,,,,0.030415213977698453
3529,Vitalik Buterin,Martin Swende,,,,,,,,,,0.030415213977698453
5516,Lucas Martín Grasso Ramos,Matias Arazi,,,,,,,,,,0.0
5732,Zainan Victor Zhou,Matt Stam,,,,,,,,,,0.005570537459565463
908,James Ray,Micah Zoltu,,,,,,,,,,0.0065010813322343725
600,Nick Johnson,Micah Zoltu,,,,,,,,,,0.028295989464552987
601,Nick Johnson,Micah Zoltu,,,,,,,,,,0.028295989464552987
4520,Brayton Goodall,Mihir Faujdar,,,,,,,,,,0.0
3978,Anton Bukov,Mikhail Melnik,,,,,,,,,,0.0
3372,mineruniter969,mineruniter969,,,,,,,,,,0.0
1203,Jeff Huang,Min Zu,,,,,,,,,,0.0
3416,HexZorro,Mojtaba Tefagh,,,,,,,,,,0.0
1153,Alexey Akhunov,Moody Salem,,,,,,,,,,0.002667247632949019
1577,Dean Eigenmann,Nick Johnson,,,,,,,,,,0.024754558585652515
191,Martin Holst Swende,Nick Johnson,,,,,,,,,,0.027240792716518934
5559,Paul Gauvreau,Nick Johnson,,,,,,,,,,0.021794908132318613
2098,Richard Moore,Nick Johnson,,,,,,,,,,0.021794908132318613
3224,Richard Moore,Nick Johnson,,,,,,,,,,0.021794908132318613
4430,Richard Moore,Nick Johnson,,,,,,,,,,0.021794908132318613
2767,Soham Zemse,Nick Mudge,,,,,,,,,,0.0022540123590790023
140,Alex Beregszaszi,Nikolai Mushegian,,,,,,,,,,0.009374220512254564
5507,elie222,Pandapip1,,,,,,,,,,0.003069408193086814
1261,Chaitanya Potti,Partha Bhattacharya,,,,,,,,,,0.0
1417,Chaitanya Potti,Partha Bhattacharya,,,,,,,,,,0.0
1822,Gabriel Barros,Patrick Gallagher,,,,,,,,,,0.0
145,Alex Beregszaszi,Pawel Bylica,,,,,,,,,,0.011093732493768067
1985,Alex Beregszaszi,Pawel Bylica,,,,,,,,,,0.011093732493768067
1052,Nick Johnson,Paweł Bylica,,,,,,,,,,0.026729833912861385
3085,Erik Marks,Pedro Gomes,,,,,,,,,,0.0140464756455943
1328,ligi,Pedro Gomes,,,,,,,,,,0.008685548248349448
3220,Weijia Zhang,Peter Robinson,,,,,,,,,,0.0
1459,Felix Lange,Péter Szilágyi,,,,,,,,,,0.0010497076785010821
